id,code,name
en16931_uom_F64,F64,gram per minute bar
en16931_uom_F65,F65,gram per second bar
en16931_uom_F66,F66,kilogram per day bar
en16931_uom_F67,F67,kilogram per hour bar
en16931_uom_F68,F68,kilogram per minute bar
en16931_uom_F69,F69,kilogram per second bar
en16931_uom_F70,F70,milligram per day bar
en16931_uom_F71,F71,milligram per hour bar
en16931_uom_F72,F72,milligram per minute bar
en16931_uom_F73,F73,milligram per second bar
en16931_uom_F74,F74,gram per bar
en16931_uom_F75,F75,milligram per bar
en16931_uom_F76,F76,milliampere per millimetre
en16931_uom_F77,F77,pascal second per kelvin
en16931_uom_F78,F78,inch of water
en16931_uom_F79,F79,inch of mercury
en16931_uom_F80,F80,water horse power
en16931_uom_F81,F81,bar per kelvin
en16931_uom_F82,F82,hectopascal per kelvin
en16931_uom_F83,F83,kilopascal per kelvin
en16931_uom_F84,F84,millibar per kelvin
en16931_uom_F85,F85,megapascal per kelvin
en16931_uom_F86,F86,poise per kelvin
en16931_uom_F87,F87,volt per litre minute
en16931_uom_F88,F88,newton centimetre
en16931_uom_F89,F89,newton metre per degree
en16931_uom_F90,F90,newton metre per ampere
en16931_uom_F91,F91,bar litre per second
en16931_uom_F92,F92,bar cubic metre per second
en16931_uom_F93,F93,hectopascal litre per second
en16931_uom_F94,F94,hectopascal cubic metre per second
en16931_uom_F95,F95,millibar litre per second
en16931_uom_F96,F96,millibar cubic metre per second
en16931_uom_F97,F97,megapascal litre per second
